job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Senior Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4Hxy1bRUAqnng0MMNJnpjZJxFKkfPHEsIOFfGVbJ-j_hvYTZyWxmXsE7omD_s-jOwD44GKS5jObWCvtozu-MgIYXAo7htPnrsNEMhaE1eD8vLokLS3RZtgQVxRR4bYrliF0SoTy1dsKRbUq06tfKatzXbAgiV_ksu7V-dmZLfaFbgqw_2V2oHFUHXiPu6kb38t-1zu8sXWTnuk_xujOvY657sU2GHbmr9ddvvYJ2Pluyumip6CbPSPACMgb-JNzPuo1DzC4rmfaV1hvel1esMR-r6ua0WYpfyt2_7gLhNxNLfkuQrj1cIM6Zlp_zvSO2iA2HO_ot5Ca3saJPhfaRUViF8e8GM0w9_9No5KCGgh7udLbAMlIYol3BXHES0lq8Gi1NBd908YZKPwuityI_OO1oiswsHitJ5X_eAKNrb64uAWh_FVeIKPsIdSRlMw88uhPO6s9psdjegYu0sYtF_o4c5X5iyM-xBSK8H98yJkT7QvhVfaFxr1RZDGocgwPb3TDncCTjtSeAVlI1-nzDgDYCfty2x4jDGQVtxSPfuDmfC5TZmmbNaGY-0RUmgsOeso-3cEvxahtA_-YZwP5DvgNIQbzseOjq5SmuoNrtYomGbzrPI1EdCJmREqLPPrKeiTmJxIPu_ThAcxuP9gs5USnyZidXCCMD_Pv3pPQ4yyCqQ-WI6cp8pt3LxSuHyEGB-Pzud0VvkaJQqy1YM8tyI61hDJ5p73wG5HjcQ8Hg1KpS8WEy2uZcZLktHbtgBc4BIYcfX-KWRqFgcxYMS7QPavUHP95mtJPU9Zw=&xkcb=SoA4-_M3YyfvqaW6Qx0MbzkdCdPP&p=5&fvj=0&vjs=3,MEDIACORP PTE. LTD.,https://sg.indeed.com/cmp/Mediacorp-Pte-Ltd.,"['$7,500 - $15,000 a month', 'Full-time +1']","Work with other teams in Mediacorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data…",3 days ago,new
,,,,[],,,
"VP, Lead Data Scientist / Data Science Manager",https://sg.indeed.com/rc/clk?jk=c6da6e028542c918&fccid=b1ace17c9d00764e&vjs=3,UOB Asset Management Ltd,https://sg.indeed.com/cmp/United-Overseas-Bank,['Full-time'],"Strategy: Responsible for continuously improving the business’s data and analytics operating model, creating industry-leading performance through the leveraging…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Data Scientist (Machine Learning; Data Science),https://sg.indeed.com/company/Lico-Resources/jobs/Data-Scientist-0f34417ed627e14a?fccid=da7337e9028e7e5b&vjs=3,Lico Resources Pte Ltd,,"['$6,000 - $9,000 a month', 'Full-time', 'Monday to Friday']","Ø experience in data engineering, including SQL and manipulating large.
Ø experience with building data products, either internal or consumer-facing a.",EmployerActive 19 days ago,
,,,,[],,,
,,,,[],,,
