job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Genomics Field Application Scientist - Experience with NGS D...,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChrvkutQYB0HFDDxFlBe1itQ3jz4ABAF0_3jie368NLyfZJ_SYARkP9sRUcxTMUdPds0Ag-iObFf337UsYeZgmdk1qKFr-n45XieTvaONwYJUL0o6BDKlK1QffOTI8d2ktNIzXChXeiqfXOh_Cvkl1IrJ8Ml-9WC8qotgAt03p_mRxJrBv_u1eJVew_qdMmwTJWY-8MxDmk3T0YGx230GF06aiDHkXscd-gDwf1_bfqckdABqypsJZpcvlJ_f37PZoeVJbxjhDuP5XGm06FvrcGCWmW-LapQWeXJwTZ6J_QJ16gXkg6deDrm17kLMNIfjpkHOpneINNUZ_NKkeh0XqMF2jC8ZySXlj4pKI3XYCaAcxFS8A12-_ZEKmUaGkfpx4ypbgk-FNBgB2fd9wILox34Bq34P7xJ7fN9JgB2ige8qh-P-L2WuE5uHiKUnULe1S4j9qju9Wk4_h1Qw9LJIlgmkL_s_CjMbSjnpyfIoAIsJPrpetQgk5DaPpNr9fDvbuBk71in--GvKmMm2wVAOB4fwK-FceWt2YIirU9_Sxyx0TzLASUShnLffYupJvuQs=&xkcb=SoDE-_M3YyfUcy2cVh0LbzkdCdPP&p=0&fvj=1&vjs=3,Partek Inc.,,"['$75,000 - $110,000 a year', 'Full-time', 'Flexible hours']","Analyze customer data and produce reports including results and methods.
Prior experience with the data analysis of sequencing, microarrays or mass spectrometry…",EmployerActive 13 days ago,
,,,,[],,,
,,,,[],,,
"Data Scientist - AI Lab, Group Data Office",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cp6KNEB19y8JALcHWdvRtcE36U0q3D7R7HlIOD-hiJ5nSFRqlr1Z0ZLs7PCbdrekC_Z2epzdeqUsDTrM2jozEL-vUenDrqYAu3nAEf65SEFZ8BSQ76eVCP2ur_725GehVlCJudAmRQ1QIRyRp1TxV6l3o0HgAxlcYbznjflM0nfK8GB2kZFnGij_HS79oEYYO_O153JfpkkbzhLfqI48Wz7cPXURB412gkDTd2zUMZfEe-4_wjSOyMpviOtDYhkMG1VVey4DiKifsbWhPvhtNliTlWb-6orYiRBEoR8U8RA8byZei8vr_mm1MJnzBDHN1hp8y0AlGl8d_kO-RP6O9tuR4W85FkCvqGm2VPgz9KDZLMPKUdigOR8XId7MT-EnFllyybenduisiwz69AXEW6PLleM9rUnY4tyNJyx7Ji-LxhkqkeJlG1NEVnHgqFpgN50q07OFkwLzdEPvUIaU6uyS-u2qX1obFYhWHRGsJ6zT48uDqw9GBsz0goG2ZCUzqsdodQAxIlvs_deJYYm2twQNXcFgAEIwYfkHPLi3K-6yYY8864HMaC7u8-Z_awPXRo3rN_XZfkUshrJDV1df4O&xkcb=SoDt-_M3YyfUc9WcVh0LbzkdCdPP&p=1&fvj=0&vjs=3,OCBC Bank,https://sg.indeed.com/cmp/Ocbc-Bank,['Full-time +1'],"Experience in dealing with business stakeholders, and guiding junior data scientist effectively.
Experience with big data technologies such as Hadoop, Impala…",18 days ago,
,,,,[],,,
,,,,[],,,
Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgenUtAy7N8vpHOUDnMIJ_LW6qlj4SiUZjYZ0pCX0SCeObUAX_MtiNeP1OMrjOU-30hpRo1n1yoYKP1EaKsBwfb7lWvfinb1fsT9cWsUQGNK65Sh7BCg_UlgjxOtGi9e2hvqgI1xsdDz8eCXGLlWOHvmxM37zCVaBsw80LLFJqY70h-KLAXtbhScMdiun6i-g2hjiv3c5hGaNgbi_QeVkexa-EcbuPy8MskMAvDXZM20Z67Pq5hMIxAvZhgEY00U9aQxviqilSoqZLZNmvTF23YV-R-2nkXetncpUbuCGePObysaWR1PVh51oHepxDnrNHqF4BWnt7wRtBoCMemOxdy7BqStHDZZA0AWuLd2MaAeaY3mg4MvhmtRM1IVvqpYvkEi0YqCwrJDLNJsmdnFYriSOl86QIfQKcXMWEARBH-1iPXIS-RRH1HUcJS-xJ2AOykOpU9ti25JdOzvZ4dSYI6ayWzfQHSe6PxSmq9F2BA9wDl3V62CpPETY2uOKmZEel4yaOvEhuS_NJS-3bD9Z2UgKq-y314v2nfAzrQOtzivO2PvSAa4L3ei6B5w5Q7i7xjLRhvkjzz-AdI0oHXrlW9aOZ8b3hC-GBOnuoM-Duho5OxlOSCradxqKltZAvh5gGx95HA-S5j_lQyZYuU73YAIvtfhkbY3vwlkMCS89C8Q1l4e03WCC7IckZIMZqnffnCbLqfWdnnsSxtZ3ie4nFiniKL8vWiXW01S_k70pq_QCsLHLGiKtx_qhsQ6UTbYU=&xkcb=SoBZ-_M3YyfUc9WcVh0KbzkdCdPP&p=2&fvj=0&vjs=3,Page Personnel,,"['$6,000 - $8,000 a month', 'Permanent']","Contribute to the data architecture engineering decisions to support analytics.
Strong knowledge in Feature Selection/Extraction on a variety of data types.",30+ days ago,
,,,,[],,,
,,,,[],,,
Data Scientist/Bioinformatics Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HwIphhIemME2yoZtdrDaV0JJEdqc983DCVGTX_x-vNGWE7s10sSIiWNxYTZrvWf4IjLZGwc1fsVgtpZFw6-0bT49pG2pqniVx71ea8eTL56P7psTIB9qlnTFjj8-h2IpOjy2Ej3aGq6iKeyADaTNkfWU_ATixLd0h_akvblDP1v9L8THqZhEeq5tRc7tLRmYCrq9alircwxTW4ms3tfOcKa9wQokfKUcmcY0dcLP9uN134k9g0PK89jIq6r_2ps8vqhaEEo0sh2HGr9x-bEOMZoR8QIp3kcXLYxcS3FjJADi6l22aNrEQnmdvSZO1OHjqLg_lAruTRbJcX3i7QwVV1_WTM7F57BuzbB0w0VrQPVNzy-PAA9PdEmIq2amdjyy7-o_BeaLhCchR53oUoMrF_fpGIkKvNz4aJJyHD53Bt-8tRITXnuRL8fFMinNWht9pO3YnN_zqrSlXQ6AeXwxgzI9O_QFB-OnC4YxGO-41tOJka9gpmKBBAKK_ovC5dT_u_zVYQn7OVML9u2OlXaNWgJCjJl4Cgw58oaCzZL4XaKtkBcNB7X0j4ukUFPiB5zpgUtyvaOVsTDSTdR-yUiUJvoco9tPMP9DqFb-D49RcbyTuTJU_39wuVzWqgH-IqqaSJA1wMIBkyBZ0wMwL6Bgqbmm7xyleN2ed_1V3S79oIkeN2ECDCgQ5o9MN4CYK2ym2kqojJPJ3zqJx_-GmPRDCl-aFaU4f0tzzcZNyUVNJifGFLuqZnRaT0mxSzrYOxhHN5F5hBNdd3PoMSE61NkCX6XqzmHobCb0AYo6Q6ZJLzGszuZQRZQLX5r&xkcb=SoDE-_M3YyfUc9WcVh0JbzkdCdPP&p=3&fvj=0&vjs=3,PLATFORM&CO PTE. LTD.,,"['$6,500 - $9,000 a month', 'Permanent']","Candidates with Masters degree and above, with bioinformatics, computer science, or mathematics degree as a background is preferred.",5 days ago,new
