job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Senior Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4Hzhn7ZTp3eCBnR5NGQrkw8Axj_HpDeDPR4uGE6vyFsUz3IAJycrwMMxVI3AqLbfWke4Uxht4_YdncTlR_hg_fj6Wz6OFuuhBi5w86QF1-Z9gamp8Docji7vAmS7DLi4nmWs0TBzXfzheL3TFKOzj_Qu_M0aXEeUaEsTCIunqoW8QSWpuEIjX4a7W0h2wM3Lviv11B_bcQ9mubDSLYTH6WDmqZHN1Ru-j5p_1xmBHrhIH7kBHChxTMCx3aWzJpn1-QxO2fOp_kFsH_WSWAAzn0lcT7AHqR2TXEPmO-Y_zcUxei6lXovmdW9vGpYpn0eMh_lOHQ13EsY9uTBcsVnvG279WBwlwCSjmMytF-vVzqYiz4LA5-Jl6fBe0TpNZf6hPYWjU2xLj915_5SGBgTxcCIBQ5oa2DpVw2iCyRD_gtRq0QFKmTl93B5ILh5CsIRSCbokWSAAOdsVfljjth3hVTINb5lozRdkIR-Pu2cXaTM9p20IbbxqVtMnAddkKoJlkq96fTIkWh_n0QyIafUfbdscHkBetn_4cGWDVhrxRYQmo34UJhQuTZYi-tYacXHdcpW35szpwS4CuBRDWa6pJ7GAIOmZfnOE2E2kuJbBTYhs6HbYuSRJ1ID97P2piVP85CIqq5goBNvdJYS_QfDwfLH58gLaeyU0hrR9LYr6PvJTGhOssYzr5phAT8YFeBvUTmUBnrWKw_wH3G4nvnclUimFCbMI29dr5irywariYvLcgSKSmlcBqwMU-rUZECdwkAWMl-HM7uOY3_aqaiFF_SPijh6s9v8naLQ=&xkcb=SoBx-_M3Yyftoq2cRZ0LbzkdCdPP&p=0&fvj=0&vjs=3,UPSKILLS PTE. LTD.,,"['$8,000 - $14,000 a month', 'Full-time']",Upskills is looking for an experienced data engineer to form and build a team of data engineers experienced in Big Data technologies.,30+ days ago,
,,,,[],,,
Senior Data Scientist (Dispatch),https://sg.indeed.com/rc/clk?jk=fd5fdfc8d2f23d10&fccid=b79fa3ee18655a5a&vjs=3,Grab,https://sg.indeed.com/cmp/Grab,['Full-time'],"Experience in working with geospatial/ mobility data.
Deep dive into big data to conduct advanced statistical analyses.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
"Manager, Data & Analytics, Technology Consulting",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HyXmGO4DpljuivJx8q6GvTL78R7uTWF-RARBvLesGtAYGHwgHOa_tPO9bxIK-15aMmgpCn6DtcyRQCiqbQuC7-qyKNAUmcXtu8lNcv7NkKGn9JwouWjx1Z-_eS--Qd9yUiqX5A_mJ8d3MjaZOgf0v1XcII_f7J3Ahqv6YG_tkYjX_g-wfknK9Av6c2Eah9tjY2Yh5vLLOM3tvtp_oY5ZbA4II-35BYhX9q5RVrFKyfvKEHtw0d_DCDaQ_SzgLwstypdr-QM62IoHFZ5FzDDTyRwQJVpnijrKgrJi3A9XI0jJuPQNRBUO2Xy82Hd4_u1FQAiQOHzgTrAg3GmO-Cp_lEk0WMivZbG3mPlEvN70qc3wUo04Wahr4HxYy1JgyXAamO57jDJDUnSGex67lky30LH-59dorDUAVv7Sb23hm_GKpHB-BFmT7em0YKlRvk_uSA7Nn_GsadQxzskq_TIx21PsXSrMD-VKnvHCgVVWXv5A6TWwhD5byhQBw5YL1mNrpmtjk45LBwtDqA61q2BmLQzD6AHcMTtyGCiVgdNW-r7tYk24namPMA7JmHfpMOBHOYWKbNUWGaEqqWG0fax36uRCqZJXSgaaiaf592iShBhG_T4uR1mTDxNowW1nqsMD9EQTyISNVR7IETaVj-1BwDQk2BNLFC4wx6JMQu-TQiCLbbTCrb7zj3fh45SSggSRkzYD_brlJf2uuknECi-HFlrA31YJU1TGSgI3DbewyyncSTpb2yOIIMNfcWZnC3vOOYf7gBHzrxn_tACt7phPU3s1IKy5SZNpaxBvXclLowzIEgC7bgfFdKsAAyKQY0jFa8AkqwQw14Blg==&xkcb=SoBY-_M3Yyftoq2cRZ0JbzkdCdPP&p=2&fvj=0&vjs=3,ERNST & YOUNG ADVISORY PTE. LTD.,https://sg.indeed.com/cmp/Ey,"['$8,000 - $16,000 a month', 'Full-time +1']","Exposure to business intelligence, data warehousing/platform, and data strategy projects.
We implement information-driven strategies, data platforms and…",2 days ago,new
,,,,[],,,
