job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Data Science and Engineering Lead,https://sg.indeed.com/rc/clk?jk=d94d37d9e2fb7c9a&fccid=a88b8a0fd9c24f34&vjs=3,Prudential plc,https://sg.indeed.com/cmp/Prudential-PLC,['Full-time +2'],"Applying recent academic developments in data science to business problems.
Familiarity in data visualization libraries or tools such as Matplotlib and plot.ly.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Machine Learning Engineer,https://sg.indeed.com/company/Endicott-Willow/jobs/Machine-Learning-Engineer-f0d655ade6b981e0?fccid=215f513f9528a4e7&vjs=3,Endicott Willow,,"['$8,000 - $11,000 a month', 'Full-time +1', 'Flexible hours']","Experience with Python and machine learning frameworks such as pytorch, tensorflow.
Experience with cloud infrastructure, e.g., AWS, Microsoft Azure.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Senior Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4Hxy1bRUAqnng0MMNJnpjZJxFKkfPHEsIOFfGVbJ-j_hvYTZyWxmXsE7omD_s-jOwD44GKS5jObWCvtozu-MgIYXAo7htPnrsNEMhaE1eD8vLokLS3RZtgQVxRR4bYrliF0mGhLW6g2ftkRL5Ly21Niztoe9HrqCX6NpnqE9y4tLs3mZ-wCm-m2uOccDH8WL8GEuFrlsC5xKEfob7MWjwksbGX7ASje1-u5gV5z_vFGA8UYG9cUeLdqAMvN4kEkxIMM7mcNK6rdx2_WoHltBlc3Eit8OZEF8Fp4hw-staGcVRswSluSYqlUlqX_X1vhvXGvUqFgEk9jr1KmdThreNptFdGPlzucisJ30Frqr9oKQW6bxReFeS04OXmHJc3qCcqUX5ixaZIJAg2rOMMMozeZqroD4PJpSHqtGMlXHpq2KPQ8WrlaFCwArp_N9cgEJPecbR6iW5anc3raHzp0gGGWmIXOttNG2LYUSs1v-wjSz40-kVq4NbVq4yATHij3rYBnjBd__3ePyRBAs-kgiQfxohXZeQTkzyhXIM_SffmJELpv2uCrBuhW4FWEl9FxFwHlukLpdWG3MUc2OIqFvgGbmfBv48Q7k1-T8KjlscCiXvmverugakT-q-oqw6rjzZGVk6azOvRoeb-OdIgyt9k2NAsj82xr18pZ4IcFT8X6a1VDdEElkZeuYwfn9ENbLX9kjFwgeZ1CxN93KCyd1re8SHHXjtoEpNoLI_z8LfBUyOSW2e6cGDK2H2mrLpFcBPP83WGx4K2LQVgVx9M2YaTpTP0gWFgDvgFo=&xkcb=SoAu-_M3YyfrbQW6Qx0JbzkdCdPP&p=2&fvj=0&vjs=3,MEDIACORP PTE. LTD.,https://sg.indeed.com/cmp/Mediacorp-Pte-Ltd.,"['$7,500 - $15,000 a month', 'Full-time +1']","Work with other teams in Mediacorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data…",3 days ago,new
,,,,[],,,
"Senior Associate / Assistant Vice President, Investment Data...",https://sg.indeed.com/rc/clk?jk=ee39913b47960a56&fccid=d900284f63844910&vjs=3,Temasek,,['Full-time'],"To research and build data science / statistical models to help IG make better investment decisions.
Applying machine learning and/or statistical techniques to…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
"VP/AVP, Senior Data Scientist, Wealth Analytics - Consumer B...",https://sg.indeed.com/rc/clk?jk=d937642c287f0b07&fccid=cc1f9ea511d140fe&vjs=3,DBS Bank,https://sg.indeed.com/cmp/Dbs-Bank,['Full-time'],"Minimum 8 years of data scientist / data analytics experience.
Preferred knowledge in Business Intelligence tools and data science.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Procurement Market Analytics Expert,https://sg.indeed.com/rc/clk?jk=9ada02f68f4d3b1f&fccid=bb9c97a740367a36&vjs=3,FrieslandCampina,https://sg.indeed.com/cmp/Frieslandcampina,['Full-time'],"From data-driven market analysis & forecasting, to smart data management, to data modelling & data science.
Proactive advocating of data-driven decision making.",4 days ago,new
,,,,[],,,
,,,,[],,,
,,,,[],,,
