job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Lead Data Science Analyst,https://sg.indeed.com/rc/clk?jk=544b4c5c11020150&fccid=ad6a68de48c604b3&vjs=3,ACHIEVE TALENTS PTE. LTD,,"['Up to $11,000 a month', 'Full-time +1']","Apply data analysis, data mining and data processing to present data clearly.
Design experiments to test data assumptions.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Senior Clinical Informatics (Data Analytics),https://sg.indeed.com/rc/clk?jk=496f874b83776a9e&fccid=dd616958bd9ddc12&vjs=3,National Healthcare Group Corporate Office (NHGHQ),,['Full-time'],"Identify and implement process improvements within data analytics group and/or respective programmes.
Explore machine learning algorithms, deep learning, NLP or…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
"Manager, Growth Data Science - Digital Marketing",https://sg.indeed.com/rc/clk?jk=41329cecb8748565&fccid=b79fa3ee18655a5a&vjs=3,Grab,https://sg.indeed.com/cmp/Grab,['Full-time'],"Experience in working with Digital/Mobile Marketplaces marketing with Customer lifecycle data, geospatial and mobility data.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Data Analytics Lead (Senior Analytics Manager),https://sg.indeed.com/rc/clk?jk=4b229f41ef4cf13e&fccid=14a2208fa2c3b5ef&vjs=3,"Love, Bonito",,['Full-time'],"New data integration and data infrastructure.
Validate data tables in data warehouse, refine logic and data transformation, and build aggregation tables to…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Project Manager (Data Analytics),https://sg.indeed.com/company/JJ-Consulting-Services/jobs/Project-Manager-af007428a67af31c?fccid=eb983c13696b8691&vjs=3,JJ Consulting Services,,"['$3,875 - $12,322 a month', 'Full-time', 'Monday to Friday']",Strong Experience working in an agile environment across multiple teams delivering data science and data engineering solutions.,30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
