job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
DATA SCIENTIST,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HwaS23m7lEqwkkCCZnm09Zvz22MA2lMM-yEZFGa447Vq3OHpizF-NARBJCP_nBNCVSIqV5S4w9YQ2YT1nVvRXbpo8y_lgtwc_iy7M-zcdLPWrSa8vV_YDFP71GhTKrHpPAEKqsyCNG7PmSdSEyHX1Rw3RHcGazeIa_AEnBr9nnXzejImw8TME1h147gYSBX5XKUhz461AGJ2r1o5uL5-_7gDS7BonkkD_h35-iCJE_TtJTNNSwKCVffuCVlpuoagzfL3c5rw3cpbTzKsh3kc6IDOH-KkYov_hGGM8iI7WSIzT54tV_D1zZf6vL2kBtzMCfxwmkd1QzxMCg-F1rU6nosmkWftkdfAhu5T-1-1rFgNEqAyTC2OjjHLLa1daQJNG8KunRwLSIYsY_scICBAprk6AFZOGmRk1mkQY7CIuAmvpY0mSBty4MOxBhKHVkFe2BDhdKU7QADLkfK0lSIileLcvyQzDtTaMyTldtskwdIes9TBhpiP5lNIdbSOdGo-4h6uj4wyW7Kbh_QiwWFeJ9_rjLN8-xZdKayskVpDC_LuvC7nVICDXxzhrhcUxSLOdvTCQkGcNFtGQB7UorFcn17Kxi8XpCb3I4cMGzBfZxANO-Vcw2vp6Bh0SXrW1jYJ1M4AxFZ3PajXjm2FeojInB-GXewLOd9u2lR3gZUvN4az4UMe0p32UdL9KeHHSfMnzq_5755_vyK4kf-vNriZyDrPtetI4EZj3LFz6zMr0plol0JTxi4j8bLAQRh-B06Ao8ujdTNoAyU10mleurCahLSocaZ8wothkE=&xkcb=SoA3-_M3YyfSBn26dp0LbzkdCdPP&p=0&fvj=0&vjs=3,SHIFT TECHNOLOGY PTE. LTD.,,"['$6,500 - $8,500 a month', 'Full-time', 'Shift system']","Implementation of the data engineering , usually from client extracts to the insertion of the data in our data stores (SQL, ElasticSearch).",11 days ago,
,,,,[],,,
Senior Data Scientist(Fraud Detection),https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HwIphhIemME22CjIIT3ZrGpOLztMBy97YiGy04h4pGskqo4g8WBOuF3bi7JNyDdFMVw3z1W4Jkh5_97C5PV_2NiGfL4aQ3U1Tj6aY0ODI5cv87jkElS3eJ2fdFkGXusgW99RxVefedvA1UXNh2tqwza5fbNTsuEjc_oLAzY1BnJ8I8TPM4eOP1OX6Ocb-tlds1fnRSTkfelwD0z4cXkcao27nxkpdISqVtiN4U1LPLAkvc6XJuHmj7tHGu-xgFhGnq2PIoM7v4AkegdHMnYZ1Wr9WpOR-bVAy37skqA6QJJ90VPqs9UYuFlvLOUFsYlT46nYb_yPrXrb4VH4zxeT_YOE0N_FhJpac-XkT5Cv0c07BaCe8zrnAGfZbTEIR1Qrqy3Gnwla7DQ2AMSGLq5KIPv2jLixcjyZ4BccanCutblOz31FnAgCP60_22PL_wcFu3LXw4YPuROFMr49Dauj0s5kipXzwqoH38Bd1RdoAQI6BOU1O3AZgfMgWGTU9l8jtlbbVMOPf8dbEnd5nkNlwwmXthy1R0GdaGjyvbzZoAPJoeBI6C59MDoeBJj3MWQNbyw1xlwaaLsFfjHj01nNUs4m5lIT4Jmies6ocZVAFZrhE9Pui0oPOmw5KqRsI3OPbKoOTcg4A7vBHrxtjUCa6qlGfGdBmdOSIjOH0dMnb9weh1YRH8_O54ZbsM8tyxAZq_FRyzMMRFrXCqLAOw9d_K1xGSMA4x5zXPTnj4y_4qB_wQlbWg--oAuWLnml2A2es0twnaTnHnHtTx7spmmR7__91_Hre-JkjfcHZV0HW8BfuCP2sGZEqWR&xkcb=SoC5-_M3YyfSBmW6dp0LbzkdCdPP&p=1&fvj=0&vjs=3,ROADGET BUSINESS PTE. LTD.,,"['$8,000 - $16,000 a month', 'Full-time']","Responsible for developing end-to-end machine learning solutions for SHEIN’s e-commerce core product in one of the following areas - search, recommendation or…",5 days ago,new
,,,,[],,,
Assistant Principal Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HzNSKHd7fQlPwGCt_R3VSc05UAymHIDc6oKOztBXmw7kJPwCvGsSuus2qdkPpErTTg8RlHjkS8wy0kXUQm7JbVBu86h3twDzb6Jn3S1otYmm7zJHHtQXeBSKGi6nF3oAeqqUlvMw2eqEGIl6A3FWitKkgmt52R8LFTnR0S6nY9iuh9AhiA9k_tXwMzMdAyFuLLHPHqIUfqZafs-LyFWMKU4a9gVOSi6pgE1tTJIDs3CrDBgQShIcEhbWdaTrY_8fbW7rxlEDYibJ1f3rNFzAzQeZL3YNAOXb3EhZW2e-Y283WQQ9ukF5Kh7QDqMIJIIlXfl6mgqWR-lB3Nuwboaf6W7tPEpX3aDOxynTG7WyEHPfWwUYg1I1SbZe8WlrrVjQg5Vk_N5Ddr7dEbooE4SB0jp-DtPDrxlGnKkkMBIlAD26zHIl6nRbXQ0L2B0hI-Jzeyi8hTzEqQli3mD6CPZa-HXmd-RmRPzGmDJ7K7myuuZB5E2td2PJ-JtR2KUI5h76YdjgscAFQwJy9zHQzAzSu6ohPZ2QtVOdVrnRB7Rntremi1sBLl54G31zoQi6I-_BMA41GErxMYlWE5UwSntGXKfOA2DEJoKpbvJaZQOzFtMf-TX-L_AZXaLAEMUI5Vv0zjoNTvzabnjx5_A4c9TsM42RQa4c-GmCcrHsWHvli_ZQdlC4gvT_G7SNpSiytRANXh0_sd5CPdct0x42NsHem0AbnoKt3eqY55cHprbCuprLODM_wt6VJNtK7qS71eU1686v4YwSaX_3lR2bGo_axNWDgn_oGJZZqAL0u4K7baEu1uOQR8RgvxQ&xkcb=SoAN-_M3YyfSBmW6dp0KbzkdCdPP&p=2&fvj=0&vjs=3,ST ENGINEERING IHQ PTE. LTD.,,"['$7,000 - $10,000 a month', 'Permanent']","Strong problem solving skills and passion for artificial intelligence and data science research.
Good experience with end-to-end analytics process – ideation…",5 days ago,new
,,,,[],,,
,,,,[],,,
Machine Learning Engineer,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HwZ0Zx4K2KjOcqLvlVbWOOk0kJMLLanOTHj4TRC6Qpn3xUmbh6t-pZt7f3fDMypo8BPjcOohQEfbXlUS8hWY-z8l6Hk2-uaGMZc4Xz7Sr-IRKRw8PIgbAsSBf6gZbjB74T3CK16e11JcXuVrMeLNxR8LIb9HWbnGsWc9BCu3yCJ1rxwvgX_Ew1F4X3BvopPF77JqEfuWuvpEQoUTjAPmNOaeVixu21sDctn3iNO18O7OaZUeIJ84-hoex1w77uwIXgJpneGCpnOL45pC1hEOQZV9EanAD7W4McpQTJCsrM6-u3goFRZHsI3INLicVEyMR9-PQlkLgSTtme5m-oFdawRSNVLNB54jhlG0fLT-VzNNgyjZgIZJIkul1jkl27ntww_va17UngtZkqTqgm4aLhX2PXkE2Y6JWW6RZ3P1LI64_-IBPeqxtoE_2jxT1rMcPGb1KxvSxVSqGskEx7On1ib_Mcx7jaz1lKQv369GnXfzF0nmkqZqtlCHbfsqLVarZfxwhQNBOInON5hX6uVXwZwQIrmVAJSZUM41SyxXZVUrRzMzD3WMSsRm9DOMXZCg5MwOWyyrvVP-6v0Bc43uhKMvcTHLitPgQZCObXMpq7cvaTsKxjKrtLRO5Awi5wRvRm2Lh0IDKid47EWOFvtyj988klV1yJ7UL-bBlO5vJc3b0VTDarERiRaM4tp1KXPMXDhtO6Ve-H_y8XLGAhGGz_g-t_x3-W6Fdjg295ajNEHVg-U2-q-6ca_I7-tZ8UuskKXoWXHVmhZUy37FenGoHfZld7lSfk0ChNwW_-eVPtgZCSkncygqaMX2DBQjxNGG7c=&xkcb=SoCQ-_M3YyfSBmW6dp0JbzkdCdPP&p=3&fvj=0&vjs=3,TOOKITAKI HOLDING PTE. LTD.,,"['$14,000 - $19,000 a month', 'Permanent', 'Flexible hours']","Designing and implementing fine-tuned production-ready data/ML pipelines in the Hadoop platform.
Identifying, designing, and implementing internal process…",17 days ago,
,,,,[],,,
,,,,[],,,
