job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
"Quantitative Researcher, Deep Research",https://sg.indeed.com/company/WorldQuant/jobs/Quantitative-Researcher-5a2bebd6e5e1e176?fccid=08487f979320ebae&vjs=3,WorldQuant,,['Full-time'],"Partner with a close-knit team of data scientists, data engineers, technologists and data sourcing colleagues to identify and research new sector or broad…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Data Scientist (Weather nowcast system ),https://sg.indeed.com/rc/clk?jk=207f5a8c4d70d60b&fccid=6e6bb78451dded9d&vjs=3,The Talent Shark,,['Full-time'],"Have passion about data and data science.
Provides data exploration with raw weather attributes, like wind speed, humidity, rainfall, and able to the find and…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Senior Data Scientist,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4Hxy1bRUAqnng0MMNJnpjZJxFKkfPHEsIOFfGVbJ-j_hvYTZyWxmXsE7omD_s-jOwD44GKS5jObWCvtozu-MgIYXAo7htPnrsNEMhaE1eD8vLokLS3RZtgQVxRR4bYrliF0i8MozFNuG3Nm1mC-YjwgXF81KrCJFJd7WMRweg-cbkNVkhngPS5VBvLX7fOKErZL3Jaos8KnywfZrdRn-96ufoZNkJDtvKMz7Hb7Rg4mNJZ48zZc4KrE9TpcP5iF8pTbhRNi8Ly80VmEOZrDmEKwakWAirhye7i66Fu3dFqo4517KRY_KpcZVrTTy_Sc1ORshv2_DvOUzqyxq8mzRyBs1OFQncPdV_9HAFnqu7Vu5mX5WUmLH_a5B5Tvg5QcRj12gr68rGn9pJ5tS9mxBWbY9wd9hyw0pIphCm6Ws1r0hI_hdw4iLidhXaklu97lUSm8QRPfYLTtO4jmCmmhbrQkBU135jE3q1LGIwVs8b0Z3zWZJqsp5tv3jEQtEfB5_J2XQ4FJNBcbKWilUqJ6k9OxUV_RLx8-T8NiQADf4vgDEK2Q32lCqQ2BJvCl2UL7SeA0m_MNOOiMw-QoDQNrLJ3l4LYRHOpne5281C8vMknDts2ZzM4I87Rg2HIATcNRxvpUz9NyVixsnlhvuL-EzPGsH_5-dZLc87CLFHQRbIHjqD9azXZkwaVZqcP9J7jQaQ7k8qRB6sIKWiAWjDGMlc44AwpoQcd-MtnNDJPn56_zJDdCbvsPYNwzMaQvO9WknC67uQMdCRDkwqYtSBft2ICsg26DTsHZkwa8=&xkcb=SoB5-_M3YyfowQW6Qx0JbzkdCdPP&p=2&fvj=0&vjs=3,MEDIACORP PTE. LTD.,https://sg.indeed.com/cmp/Mediacorp-Pte-Ltd.,"['$7,500 - $15,000 a month', 'Full-time +1']","Work with other teams in Mediacorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data…",3 days ago,new
